anrede;name;vorname;plz;ort;strasse;hausnummer;telefon1;telefon2;email;geboren;geschlecht;leistung_uuid;vertrag_kontierung;vertrag_laufzeit_von;vertrag_laufzeit_bis;preis_uuid;bemerkung_uuid;uuid
<NULL>;Becker;Brigitte;33898;Bielefeld;Hauptstr.;39;07231664487;;brigitte.becker43@email.de;556668000;maennlich;3bf136e6-b32a-4d4e-ad0f-3202a7378168;1761606000;1738018800;1826233200;497f6898-012e-40f9-9768-a7ae1542d966;<NULL>;c9ac5436-86e7-4063-8bbc-93576600db26
Frau;Neumann;Angelika;61580;Leipzig;Bahnhofstr.;83;02666185619;06477412673;angelika.neumann593@email.de;402706800;<NULL>;71b20752-d04d-4a94-83f1-8a3bfc62140d;1758578400;1767222000;1797721200;c90cac8f-3d05-40ca-a8f0-a913ab5ed1bd;<NULL>;62cdcae2-a4cb-4bf1-80c2-710c269b6afb
<NULL>;Klein;Monika;76000;München;Bergstr.;11;08874305447;;monika.klein593@email.de;979858800;weiblich;51a615cc-4efa-4890-b11a-bef6daa7e47b;1717624800;1791064800;1825542000;ffdd7d2b-ed31-4205-9f37-8d11cc42c2f2;<NULL>;67ed4b5d-27c0-4edf-8f41-df9863d9c683
<NULL>;Wagner;Thomas;89769;Düsseldorf;Bergstr.;56;02930279309;08520111033;thomas.wagner447@email.de;470790000;weiblich;4391aa6d-bb96-452c-844b-dd2a29bf03b3;1777500000;1740438000;1834527600;3e8d1640-332b-4689-8803-48429db952f7;<NULL>;a0becc25-4333-406f-8b5b-90ea49c5e8d0
Frau;Schulze;Petra;12892;Hamburg;Wiesenweg;3;03298714886;03916571165;petra.schulze720@email.de;87519600;<NULL>;f63b3dda-1e0d-4ec7-b701-af6f896fa5f0;1769382000;1712440800;1839448800;3f9f9dda-54ca-4552-8c50-4d8df14dd79e;5d6c20d0-37f3-4686-acdb-424134ef1c8d;5f35b7d3-11f0-4e93-bc28-ebf89a427934
Frau;Richter;Susanne;28201;Bochum;Mühlenweg;6;01269206068;04848233247;susanne.richter56@email.de;971388000;<NULL>;8a4c5adb-d27c-4660-a9a5-285a3fb6154b;1724364000;1740783600;1808604000;c1a33a43-9322-484a-9ece-e4d6a4c8059e;<NULL>;50c67fe2-ed40-4f65-bab8-a5130821df33
Herr;Becker;Bernd;87831;Dortmund;Hauptstr.;20;01631773187;05440558444;bernd.becker763@email.de;171327600;maennlich;b2fdaa10-6501-4c26-84de-eb4b033b78da;1783461600;1721167200;1796338800;e320e3cd-bb1b-4a5c-b569-243a8ad55dfc;<NULL>;b1f7abdd-68e2-49f1-90c7-f95f34f3c49f
Herr;Bauer;Max;44663;Frankfurt;Bergstr.;5;04061898416;02794351190;max.bauer597@email.de;784422000;weiblich;c88024a0-7e38-4955-bb64-32b0134d41c4;1798412400;1772924400;1805238000;d22fab98-1d32-4bdc-be90-c727f789c3ec;24e60528-aeaa-468c-9625-0129ed100760;4b709a5b-7c12-45f2-a37a-cf2fdc7dcfba
<NULL>;Krause;Thomas;26154;Nürnberg;Bergstr.;40;01657154460;;thomas.krause478@email.de;6390000;<NULL>;e549c39c-6e9e-4e3d-8993-e24336856290;1776895200;1705014000;1786917600;77728078-84f7-42ea-a2b7-d271f6af7292;<NULL>;a4b646c5-b05b-4117-81ab-ad83521b65d1
Herr;Bauer;Michael;55787;Münster;Hauptstr.;49;03972567286;03072769148;michael.bauer576@email.de;272329200;weiblich;743788de-be60-4d56-baf3-e315af123d7e;1780696800;1714428000;1780437600;0bfef360-f0de-47e9-9ebd-cfdd86febe65;<NULL>;90d61716-76df-4bf6-9e15-e8edf144178c
Herr;Schmitt;Monika;62599;Bonn;Bergstr.;70;01857102582;01997193539;monika.schmitt827@email.de;-37242000;weiblich;c11c942b-9341-4b36-922f-f60a317efe62;1762210800;1711580400;1833231600;864a353f-3800-4bf0-a9ba-2af16cde7bfa;eabc4d02-270b-4423-83a3-01a8e7f72443;3826fc0f-7840-4e8d-8ef1-5a87266149dd
Frau;Klein;Frank;46053;Essen;Am Park;55;09672305035;05108633239;frank.klein818@email.de;743292000;maennlich;2e6ace59-f261-4379-a134-5ab0cb94a6a2;1707260400;1766271600;1787522400;492b7233-8f5a-41c3-94af-e9a837328b31;<NULL>;55f81a93-bc3a-4e1b-ab99-8311cd62a855
Frau;Zimmermann;Simone;34564;Stuttgart;Hauptstr.;63;05729954913;04660160250;simone.zimmermann70@email.de;172364400;weiblich;86cdfbd0-f0b8-4a14-b783-e0a6dcff18c4;1707606000;1776031200;1786658400;00c01a07-8447-404a-b16a-f78fa56f39f0;<NULL>;66efc562-6c28-4e82-9a8c-35df8019f005
<NULL>;Fischer;Erika;91686;Münster;Am Park;48;04013829312;;erika.fischer465@email.de;161391600;<NULL>;90567b2f-2c43-4be6-b25e-a8257565391d;1759960800;1731798000;1825196400;c1a33a43-9322-484a-9ece-e4d6a4c8059e;<NULL>;a714fda8-d80a-47c8-8de9-8fbb2161e409
Frau;Bauer;Volker;90064;Duisburg;Wiesenweg;5;0814996678;;volker.bauer249@email.de;1104879600;weiblich;86cdfbd0-f0b8-4a14-b783-e0a6dcff18c4;1720303200;1741906800;1836514800;a9fb9ed2-9aa7-44f9-a335-7ad24bab80d8;<NULL>;87e2254f-e141-4d27-a0e9-29020808a02f
Herr;Becker;Petra;24580;Köln;Schulweg;126;01104336864;;petra.becker684@email.de;-101005200;maennlich;dcd5996f-09ba-42a6-8830-01b3b67f5b83;1731711600;1720908000;1804806000;00c01a07-8447-404a-b16a-f78fa56f39f0;39ecd848-087b-4bbc-99e9-58e319c0a220;9bc7884c-9539-4b95-a60a-a5285b55fa2e
Frau;Krüger;Peter;39932;Münster;Kirchenweg;120;05465119211;06371643464;peter.krüger439@email.de;1226358000;<NULL>;2393b703-6a02-49ca-857a-3e322bbaaf45;1709938800;1743544800;1802818800;a1b77b8f-cc8e-41db-89aa-a77db62d63d5;<NULL>;ae337a24-69ae-4325-ab03-b1e6a12772ab
Herr;Schulze;Stefan;24560;Dresden;Bergstr.;2;04572856563;;stefan.schulze993@email.de;1030485600;maennlich;8a4c5adb-d27c-4660-a9a5-285a3fb6154b;1789250400;1708815600;1852322400;1db64250-bff4-4bb9-9f54-9af735826b57;<NULL>;a6b47a2f-cabf-4f39-badc-d0c881cdf1e6
Frau;Braun;Angelika;98972;Bremen;Bahnhofstr.;55;05632374174;02057350296;angelika.braun80@email.de;652399200;maennlich;62ba71bb-52b6-47ba-82fe-adf7817d5762;1753480800;1722376800;1831935600;d22fab98-1d32-4bdc-be90-c727f789c3ec;<NULL>;3dd2e547-24e8-4600-821a-888008b65c0f
Frau;Bauer;Stefan;28093;Münster;Bahnhofstr.;149;01946808479;07113560421;stefan.bauer791@email.de;-89254800;maennlich;0548ba65-62ed-42a7-8eea-3ceae33c29b1;1774821600;1719439200;1778536800;a9fb9ed2-9aa7-44f9-a335-7ad24bab80d8;9fbe7740-be49-4d47-9faf-e2d4103da200;653650e6-5577-4cad-bbef-53c72dddbf16
<NULL>;Koch;Kerstin;66408;Düsseldorf;Schulweg;131;06086173954;;kerstin.koch284@email.de;97628400;maennlich;b34f6157-4f8f-416a-af01-414845e1ac53;1743890400;1779919200;1792188000;497f6898-012e-40f9-9768-a7ae1542d966;<NULL>;d8da70fe-0efe-47f1-8063-dfa92b1fe90f
<NULL>;Klein;Ute;38117;Berlin;Bergstr.;36;02199619331;05342573142;ute.klein443@email.de;893368800;weiblich;e7194c5a-6a4b-4535-aeb9-c4ea1d1da838;1795647600;1758319200;1787263200;854463a5-61c5-462a-9aee-6351106cff98;<NULL>;1047fba8-3472-4cfd-aade-f00fdd5865b1
Frau;Maier;Erika;43050;Frankfurt;Kirchenweg;108;0977650751;;erika.maier609@email.de;316911600;weiblich;67fe4fe7-bcb5-4d34-8bbb-af6aa2d0fd42;1781301600;1747346400;1840744800;88291502-71c7-42de-9013-b2b63f242e51;<NULL>;590f4d59-4468-4d7f-bafc-290e10db632e
<NULL>;Lehmann;Silke;20736;Münster;Am Park;11;03684405393;;silke.lehmann605@email.de;996184800;weiblich;3602913f-e221-4550-a120-1f6f665709e1;1750975200;1728165600;1847484000;09c638f8-811f-4eee-82de-98eb42c4f579;<NULL>;c6b1aa07-5709-4f09-b2d9-9719c7609839
<NULL>;Krause;Angelika;39000;Wuppertal;Bahnhofstr.;148;08989108945;;angelika.krause377@email.de;1165186800;maennlich;a10fdc17-832c-4be6-876f-e04dc4e7c003;1749592800;1708038000;1849989600;6218f3c2-c47c-400d-9dc3-b6f977300028;02b97218-96ae-4757-a9e0-f772af484686;2aa5d6ce-d255-4b8d-afd3-a7f20f3b21a7
Herr;Schmidt;Susanne;86622;Dresden;Kirchenweg;108;09254833217;05811171030;susanne.schmidt502@email.de;707176800;<NULL>;b44abaa9-1c8b-4230-8f40-e455810f7407;1798153200;1789768800;1776895200;f0e3f803-a202-4404-b4c0-3de9323c05d9;25232cea-6741-4527-8ab5-c807605d2747;e7aa0363-9e57-43f7-b299-f227a5a5366b
Frau;Meier;Heike;52021;Dortmund;Mühlenweg;52;02717898540;;heike.meier758@email.de;289695600;maennlich;743788de-be60-4d56-baf3-e315af123d7e;1784757600;1781388000;1823378400;986d7489-3127-464f-a9b2-03d88adf1522;<NULL>;1f57a0c5-c073-4801-886b-6ae93f00bb6a
Frau;Bauer;Hans;12039;Berlin;Kirchenweg;120;06942871848;;hans.bauer872@email.de;1021845600;<NULL>;9ed48828-d685-45fe-8985-f83306e6afb3;1709506800;1704927600;1784152800;808110e5-851f-4e0f-a515-60bf157e6306;<NULL>;3ab8e94c-42b9-48aa-b83d-eb7fb30410be
Frau;Schäfer;Hans;60386;Berlin;Hauptstr.;76;06626101894;;hans.schäfer204@email.de;261097200;weiblich;3bf136e6-b32a-4d4e-ad0f-3202a7378168;1727042400;1743544800;1841608800;48f8cfde-6f42-45aa-8d19-9463aa505b0a;<NULL>;a63f5c3a-0580-4af6-8ce0-de4bb56e405f
<NULL>;Müller;Jürgen;32370;Münster;Wiesenweg;112;05682748763;;jürgen.müller374@email.de;1185573600;<NULL>;ddd59095-8dbe-4402-9d3b-730d65ad8481;1713823200;1774908000;1784498400;d22fab98-1d32-4bdc-be90-c727f789c3ec;d36b1a90-083d-4844-8e5b-92f3c254f2f5;b04381e7-24cc-4c44-aa80-e0c4639157f2
<NULL>;Müller;Maria;56595;Stuttgart;Kirchenweg;121;05655351326;;maria.müller866@email.de;990828000;weiblich;67fe4fe7-bcb5-4d34-8bbb-af6aa2d0fd42;1709852400;1747000800;1825455600;3a7b3525-354e-47ce-b547-65c8a00ec83a;<NULL>;5381faf2-df74-4b92-b0dc-986a045a0ae2
Herr;Meier;Angelika;44010;Stuttgart;Bergstr.;42;07969604807;;angelika.meier501@email.de;-48733200;maennlich;3fc16fcf-7373-4ed9-869b-1698ebbd7662;1785016800;1746655200;1861138800;529e6ef3-862a-4dd5-a6eb-1aee99d66bee;3970bb7a-a0ab-4de0-be29-ab413f40d221;ddd3e367-66a8-4b88-bd39-f668f4d7fb5d
Frau;Schröder;Stefan;32936;Nürnberg;Schulweg;2;0347713137;0440642142;stefan.schröder173@email.de;184374000;weiblich;0c200e9d-ab99-430b-93cd-939ee6244e9f;1719352800;1708210800;1784498400;3da7bb23-df65-47de-a498-9558ec0e73ff;<NULL>;77f114d5-77e9-4868-a4a0-e6e0d9cca1c4
Frau;Schulze;Sabine;86315;Bremen;Kirchenweg;27;06691464885;;sabine.schulze279@email.de;-164163600;weiblich;67fe4fe7-bcb5-4d34-8bbb-af6aa2d0fd42;1769209200;1743116400;1848952800;cfff318e-322d-4da1-9111-ad8376ff44a3;b564529a-1dd5-4b0b-af7c-af41669af565;c2e30d63-c8ad-42bc-8994-b41f02a0cba2
Frau;Meier;Silke;44466;München;Mühlenweg;76;04611441116;;silke.meier503@email.de;826412400;weiblich;86cdfbd0-f0b8-4a14-b783-e0a6dcff18c4;1749679200;1760306400;1818194400;ece0114d-6877-4674-8e53-dac33ba1ca90;9fbe7740-be49-4d47-9faf-e2d4103da200;ac70dc2e-788c-4364-849f-fc58594cc9e7
Herr;Lange;Christian;36291;Hamburg;Am Park;1;06676938117;;christian.lange682@email.de;539391600;maennlich;f63b3dda-1e0d-4ec7-b701-af6f896fa5f0;1787608800;1770418800;1799967600;23502629-4ee5-4398-8a32-f0da902fc885;<NULL>;376773fb-08b6-4313-9074-bc97bd5923ff
Frau;Krüger;Andreas;26148;Dresden;Mühlenweg;127;0295302593;;andreas.krüger398@email.de;456876000;weiblich;124a6ada-0aa6-49ce-8e21-64cc68a7f8c4;1762988400;1782338400;1850076000;2e875b67-d57b-402e-9e84-c395fae2a8d7;8a9bf98f-a572-4a75-9ac3-4774afb85870;c120fcd9-e07e-4cda-91bd-3712c868f607
Frau;Braun;Jürgen;33560;Essen;Mühlenweg;79;09957592914;03986188644;jürgen.braun496@email.de;228351600;<NULL>;4c33edce-615a-45fd-af33-c0075a0affe0;1739919600;1747346400;1860447600;75cd3ea0-93b5-413f-946a-d83badf6fa9f;6f6b041f-8adf-446c-b583-c78f14b32bc4;9abc5aa0-33f1-4998-bb7f-57c4f1254f88
Herr;Richter;Simone;11368;Dresden;Kirchenweg;122;01729211524;;simone.richter4@email.de;866498400;weiblich;743788de-be60-4d56-baf3-e315af123d7e;1747260000;1706655600;1826146800;fdf576db-12e0-4e5f-9f1d-22e3251591d6;e5b2d0a4-e600-42d3-992d-9768ef7c41f3;d3890b34-3b52-4209-bfda-9971b71ad7b7
<NULL>;Werner;Max;49263;Bremen;Kirchenweg;59;09297696517;;max.werner627@email.de;168303600;<NULL>;960f86d1-acee-4a08-90ee-2356e01379cf;1797289200;1773788400;1852063200;1397bd1d-d397-4f7a-9216-6f4106651d42;<NULL>;b514066d-92cd-4de9-b983-7f7c09f826c7
Frau;Krause;Brigitte;28805;Frankfurt;Bahnhofstr.;4;01216294716;02354413878;brigitte.krause234@email.de;-101437200;<NULL>;0ff57165-fe3f-47ae-bc3b-de955906f00a;1733958000;1783548000;1803337200;23502629-4ee5-4398-8a32-f0da902fc885;7472bb47-6d8b-475b-9653-c0e0d1cd2724;ff39160e-9907-42a7-a2d0-a4600c5afb2b
Herr;Hartmann;Ute;54293;Dresden;Bergstr.;142;0186152579;;ute.hartmann550@email.de;-68000400;<NULL>;febdefa5-5448-4fbf-8c08-6d1670a8e413;1725919200;1713823200;1826578800;8dddf2c9-fcaa-4d83-8e9e-1475f5013627;<NULL>;9edfea4e-ada8-4912-8309-f9095d489bad
<NULL>;Braun;Frank;18675;Stuttgart;Am Park;96;03200966459;;frank.braun998@email.de;11228400;weiblich;f03929ab-6c35-4955-87ee-6e83548498ed;1704841200;1717624800;1784152800;9e9ce7ff-ca15-48dd-82bd-ae36b3a0d1ca;<NULL>;ac1ccdfb-ba70-477f-b1d6-e56cab84b03f
Herr;Maier;Jürgen;21307;Köln;Bahnhofstr.;29;0591582628;;jürgen.maier877@email.de;1021845600;maennlich;01730484-a2ff-4bf6-8005-04496193c7bf;1731711600;1743289200;1811800800;f5a32c77-8e74-490e-b678-3af0cb92ac8b;<NULL>;f0d12de7-61a4-4c12-a9cd-0bd18be7f56e
<NULL>;Richter;Peter;56077;Köln;Wiesenweg;78;01693627485;09095758169;peter.richter649@email.de;550360800;<NULL>;4c33edce-615a-45fd-af33-c0075a0affe0;1748296800;1707174000;1773097200;aa6bad57-91b6-4237-8276-ff7b57a12aab;<NULL>;5d7f9306-b34b-465e-a893-7c48b8589e78
Herr;Neumann;Bernd;67376;Köln;Bergstr.;11;0434132953;09512868749;bernd.neumann888@email.de;1017010800;maennlich;a8c5e0bf-8fc1-42d7-9189-cf3eeb39db57;1719784800;1792274400;1839621600;c1d4fac8-93eb-4b40-a99e-b534c164dfa6;<NULL>;7962f9f8-17d0-435a-9df8-f711794d19ed
<NULL>;Klein;Thomas;95712;Münster;Bergstr.;25;03896837186;09853629031;thomas.klein529@email.de;-300848400;<NULL>;e5c6834d-ce73-42c7-a834-5f39910eca61;1710198000;1734303600;1771369200;daa9f974-f1ec-4f89-bb54-d4bce2f2150c;<NULL>;568fc530-38d6-4352-b54a-e1f1fe6b3604
Herr;Krause;Ralf;35441;Köln;Kirchenweg;58;04851155861;01877729492;ralf.krause719@email.de;574988400;maennlich;3d33f3d7-01e8-40bb-b328-b3c54bac1375;1715292000;1784239200;1832626800;06fde8c7-205f-4be1-b5f7-f0f389da9b00;<NULL>;49a73609-73d5-44c9-931f-ec43d0049cb4
Frau;Hoffmann;Thomas;75077;Stuttgart;Bahnhofstr.;64;02774306486;0777516045;thomas.hoffmann72@email.de;-257821200;weiblich;0ff57165-fe3f-47ae-bc3b-de955906f00a;1779573600;1704754800;1848780000;9bf1aa28-2660-4fd9-a2a7-c2beda27ff65;<NULL>;b8ec5d0c-bcf9-477c-a9e9-324fc61e15b3
<NULL>;Meier;Diana;92568;Hannover;Wiesenweg;119;0506118902;;diana.meier82@email.de;88729200;weiblich;86cdfbd0-f0b8-4a14-b783-e0a6dcff18c4;1786658400;1740524400;1788818400;6af38149-ed6b-4a49-a49e-c1812b4a7814;7be6b10a-d27e-4e3c-a6a8-eff248e40b54;83875458-4284-4b17-93c6-ae37d74e19da
Frau;Schulze;Andreas;90563;Stuttgart;Hauptstr.;91;04520890172;08588933126;andreas.schulze309@email.de;-284346000;<NULL>;90567b2f-2c43-4be6-b25e-a8257565391d;1742252400;1756332000;1789768800;3da7bb23-df65-47de-a498-9558ec0e73ff;3970bb7a-a0ab-4de0-be29-ab413f40d221;1fd385ae-0f19-446e-8e46-59bdd25d8288
Herr;Hoffmann;Erika;37538;Duisburg;Schulweg;42;07815332338;08337422599;erika.hoffmann229@email.de;-284950800;<NULL>;5312aa2b-feca-47fc-97f1-a69645f4d2e5;1762902000;1744927200;1811714400;48f8cfde-6f42-45aa-8d19-9463aa505b0a;<NULL>;078d1019-ccd7-4dc3-aa06-efbaf9c6734e
Herr;Bauer;Monika;44708;Berlin;Wiesenweg;6;0699497907;;monika.bauer220@email.de;540342000;<NULL>;e7194c5a-6a4b-4535-aeb9-c4ea1d1da838;1775080800;1710111600;1799794800;fccc4f37-63ae-4f5f-aaba-d21064901f70;<NULL>;564c37f0-6ee6-4d7b-b16e-ddb33d40aee2
Herr;Müller;Klaus;30346;Bielefeld;Bergstr.;113;09820343736;04864198543;klaus.müller994@email.de;640648800;maennlich;90567b2f-2c43-4be6-b25e-a8257565391d;1757973600;1732057200;1834527600;3a7b3525-354e-47ce-b547-65c8a00ec83a;<NULL>;4d86cfa4-acb5-4b65-9cca-643a90b23a48
Herr;Meier;Angelika;98932;Nürnberg;Am Park;14;03328405413;;angelika.meier481@email.de;203122800;<NULL>;a8c5e0bf-8fc1-42d7-9189-cf3eeb39db57;1713909600;1734130800;1790719200;ed54419b-8368-4ce3-900d-535ba61edb1b;25232cea-6741-4527-8ab5-c807605d2747;385a3b38-e1e1-4abc-a486-9ad0ac43116e
